position,scope,method,n,population_n,forecast_covered_n,zero_outcome_n,spearman,rate_spearman,rate_mae,mean_bias,points_mae,season_mean_bias,tier_rank,predicted_top_n,actual_top_n,tier_hits,tier_precision,tier_recall,tier_hit_rate,replacement_rank,predicted_replacement_points,actual_replacement_points,vorp_mae,vorp_spearman
QB,all_eligible,model,100,100,88,20,0.6689116054692342,0.6402838917177451,4.212199530758214,-2.4771937292816624,55.78386431747319,6.313398807032676,12,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,13,243.84639825831783,262.9,62.385621866729146,0.6689116054692342
QB,all_eligible,carry_forward,100,100,88,20,0.5645799079328341,,,,60.7924,-5.806400000000001,12,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,13,238.08,262.9,69.91839999999998,0.5645799079328341
QB,all_eligible,availability_adjusted,100,100,88,20,0.5722292448824191,,,,79.01022741119992,38.945902966755455,12,12,12,6,0.5,0.5,0.5,13,291.58,262.9,79.74292094599845,0.5722292448824191
QB,forecast_covered,model,88,100,88,13,0.6912434896788264,0.6771063134188607,4.231441385962617,-2.2666620661028993,60.11257308803773,10.445680462537128,12,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,13,243.84639825831783,262.9,66.74849749666122,0.6912434896788264
QB,forecast_covered,carry_forward,88,100,88,13,0.5670826881008991,,,,65.80409090909092,-3.3268181818181826,12,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,13,238.08,262.9,75.04636363636361,0.5670826881008991
QB,forecast_covered,availability_adjusted,88,100,88,13,0.5774951230320611,,,,86.50616751272717,47.52807155313121,12,12,12,6,0.5,0.5,0.5,13,291.58,262.9,83.43468289318005,0.5774951230320611
QB,starter_depth_tier_1,model,29,100,88,0,-0.00689655172413793,0.2793103448275862,4.908385343920789,-2.188665240046816,97.80422364438968,18.198404409706356,12,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,13,243.84639825831783,257.03999999999996,97.52648235227045,-0.00689655172413793
QB,starter_depth_tier_1,carry_forward,29,100,88,0,0.1635467980295566,,,,109.39172413793102,-7.874482758620694,12,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,13,238.08,257.03999999999996,112.29655172413791,0.1635467980295566
QB,starter_depth_tier_1,availability_adjusted,29,100,88,0,0.27339901477832507,,,,92.44342810159192,53.293021971323704,12,12,12,6,0.5,0.5,0.5,13,287.82,257.03999999999996,84.93802403439472,0.27339901477832507
QB,starter_8plus_games,model,25,100,88,0,0.052307692307692305,0.32923076923076927,4.654733280319778,-3.445371342615805,80.41391069689834,-11.928839615334326,12,12,12,6,0.5,0.5,0.5,13,234.9433622187905,257.03999999999996,76.9123901946276,0.052307692307692305
QB,starter_8plus_games,carry_forward,25,100,88,0,0.19384615384615386,,,,103.5864,-32.442400000000006,12,12,12,7,0.5833333333333334,0.5833333333333334,0.5833333333333334,13,229.26000000000002,257.03999999999996,104.57439999999997,0.19384615384615386
QB,starter_8plus_games,availability_adjusted,25,100,88,0,0.30076923076923073,,,,73.2405372039072,27.826066092796086,12,12,12,7,0.5833333333333334,0.5833333333333334,0.5833333333333334,13,284.26,257.03999999999996,69.60146848595849,0.30076923076923073
RB,all_eligible,model,180,180,154,48,0.7831693974938672,0.7807605991531177,2.004037742383138,-0.30310602798073333,33.89178091045845,9.925208408591262,24,24,24,15,0.625,0.625,0.625,25,165.67358423288948,169.9,35.78847627521455,0.7832220182464205
RB,all_eligible,carry_forward,180,180,154,48,0.6078626557173296,,,,39.12822222222222,-1.8386666666666631,24,24,24,12,0.5,0.5,0.5,25,154.8,169.9,44.797333333333334,0.6077829196032538
RB,all_eligible,availability_adjusted,180,180,154,48,0.5890292161547537,,,,47.08624022813606,14.490700816929984,24,24,24,12,0.5,0.5,0.5,25,181.37692307692308,169.9,47.14754191718775,0.5890277030182389
RB,forecast_covered,model,154,180,154,26,0.7423410558433994,0.7494976653772498,2.288247577677261,-0.30014557383029433,39.39948418105534,11.815178659392384,24,24,24,15,0.625,0.625,0.625,25,165.67358423288948,169.9,41.08275703027394,0.7423482794555536
RB,forecast_covered,carry_forward,154,180,154,26,0.5458604023375541,,,,45.519999999999996,-1.934805194805192,24,24,24,12,0.5,0.5,0.5,25,154.8,169.9,50.025454545454544,0.5457606180725308
RB,forecast_covered,availability_adjusted,154,180,154,26,0.5204825028420137,,,,54.82157948743178,17.151468487320763,24,24,24,12,0.5,0.5,0.5,25,181.37692307692308,169.9,52.95556847463503,0.5204796063604743
RB,starter_depth_tier_1,model,35,180,154,0,0.37705721781659834,0.5025562026470859,2.9072500130452625,-0.5773905693406788,60.97932027323061,12.928800209894517,24,24,24,19,0.7916666666666666,0.7916666666666666,0.7916666666666666,25,145.2975339478048,121.9,60.02766324204433,0.37705721781659834
