player_id,display_name,team,position,season,text_sentiment_raw,text_sentiment_z,text_confidence,sentiment_label,sentiment_source_ref,sentiment_parse_method,market_ecr,market_adp,market_gap_raw,market_gap_z,market_confidence,raw_sentiment_z,sentiment_residual_z,sentiment_score,sentiment_feature,sentiment_confidence,sentiment_coverage,sentiment_as_of,sentiment_claim_count,sentiment_source_count,sentiment_model_active,sentiment_version
00-0036971,Trevor Lawrence,JAX,QB,2026,1.0,0.7588021044111695,0.62,very positive,jacksonville_jaguars_player_sentiment_summary.md:9,bullet,77.32,94.6,17.28,0.14409173498648134,0.3333333333333333,0.5438684088081316,0.6944590972543475,58.0,0.5185294592832461,0.7466666666666666,high,2026-08-24,1,2,False,markdown_market_v1
00-0039732,Bo Nix,DEN,QB,2026,0.8,0.421556724672872,0.75,Strong positive,Fantasy_Research_Denver_Broncos_Sentiment_2026-08-24.md:12,table,101.01,114.7,13.689999999999998,-0.1732636813334375,0.3333333333333333,0.23853506128631521,0.17746157617992064,7.0,0.14788464681660052,0.8333333333333333,high,2026-08-24,1,2,False,markdown_market_v1
00-0036355,Justin Herbert,LAC,QB,2026,1.0,0.7588021044111695,0.75,Very Positive,Chargers_Player_Sentiment_Analysis.md:12,table,70.77,110.2,39.43000000000001,2.1021481337291545,0.3333333333333333,1.1721393442013186,1.7612366481533637,100.0,1.4676972067944696,0.8333333333333333,high,2026-08-24,1,2,False,markdown_market_v1
00-0039851,Drake Maye,NE,QB,2026,1.0,0.7588021044111695,0.75,Very positive,Fantasy_Research_Patriots_Sentiment_Summary.md:22,table,38.28,51.5,13.219999999999999,-0.21481160491849635,0.3333333333333333,0.4592286553866569,0.5774288963138662,55.0,0.4811907469282218,0.8333333333333333,high,2026-08-24,1,2,False,markdown_market_v1
00-0033873,Patrick Mahomes,KC,QB,2026,0.55,0.0,0.62,Rehab and work ethic praised,chiefs_player_sentiment_summary_2026-08-24.md:24,bullet,100.36,103.5,3.1400000000000006,-1.1058819660618886,0.3333333333333333,-0.38667201610555546,-0.8794048197350877,-46.0,-0.6566222654021987,0.7466666666666666,high,2026-08-24,1,2,False,markdown_market_v1
00-0039139,Jahmyr Gibbs,DET,RB,2026,1.0,1.214083367057871,0.62,Very bullish,detroit_lions_fantasy_sentiment_summary.md:6,bullet,2.93,1.5,-1.4300000000000002,0.6706881336303567,0.3333333333333333,1.0240850336916072,1.2261942183705687,74.0,0.9155583497166913,0.7466666666666666,high,2026-08-24,1,2,False,markdown_market_v1
00-0034857,Josh Allen,BUF,QB,2026,1.0,0.7588021044111695,0.62,strongly positive,bills_player_sentiment_since_2026-02-17.md:7,bullet,25.9,33.0,7.100000000000001,-0.755818609898413,0.3333333333333333,0.22921444206516162,0.1892834968423082,10.0,0.14133167764225676,0.7466666666666666,high,2026-08-24,1,2,False,markdown_market_v1
00-0039918,Caleb Williams,CHI,QB,2026,1.0,0.7588021044111695,0.75,Very positive,chicago_bears_player_sentiment_since_2026-02-17.md:14,table,66.64,91.0,24.36,0.7699625838848163,0.3333333333333333,0.7622360980953685,1.0755597675746222,79.0,0.8962998063121851,0.8333333333333333,high,2026-08-24,1,2,False,markdown_market_v1
00-0033077,Dak Prescott,DAL,QB,2026,0.55,0.0,0.62,Positive preparation and leadership sentiment,dallas_cowboys_fantasy_sentiment_summary.md:21,bullet,79.47,65.7,-13.769999999999996,-2.600723216749861,0.3333333333333333,-0.9093437820803709,-1.7104976652435904,-82.0,-1.2771715900485474,0.7466666666666666,high,2026-08-24,1,2,False,markdown_market_v1
00-0037834,Brock Purdy,SF,QB,2026,0.0,-0.9274247942803184,0.62,Stable outlook,49ers_fantasy_sentiment_summary_2026-08-24.md:26,bullet,96.48,88.4,-8.079999999999998,-2.097728141858403,0.3333333333333333,-1.3366217689579702,-2.4817277593395,-88.0,-1.8530233936401599,0.7466666666666666,high,2026-08-24,1,2,False,markdown_market_v1
