player_id,display_name,team,position,projected_games,role,depth_rank,depth_chart_status,source,low_confidence,season,stat,pred_pg,pred_pg_low,pred_pg_high,pred_season,pred_season_low,pred_season_high,fantasy_pts,fantasy_pts_season,fantasy_pts_low,fantasy_pts_high
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,attempts,30.138716056232298,,,481.44039460366656,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,completions,19.590165436551,,,320.4982230594188,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,passing_yards,223.8269099252629,,,3658.5012781055857,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,passing_tds,1.5442680604408554,,,25.243929266428175,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,interceptions,0.6137658268292804,,,9.54405860719531,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,carries,6.958814536552355,,,108.20956604338912,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,rushing_yards,33.747466941651886,,,524.7731109426869,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,rushing_tds,0.557234849254874,,,8.665001905913291,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,targets,0.0,,,0.0,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
00-0034857,Josh Allen,BUF,QB,15.55,starter,1.0,starter,v2_team_first,False,2026,receptions,0.0,,,0.0,,,25.37015342834228,394.5058858107224,13.69883443769457,34.859982006551576
