player_id,position,attempts,carries,completions,interceptions,passing_tds,passing_yards,rushing_tds,rushing_yards,display_name,team,depth_rank,projected_games,fantasy_pts,fantasy_pts_season,rank
00-0034857,QB,20.847495763771295,7.545454545454546,12.556560635619414,0.4604209307477754,1.2508497458262777,162.21222234552323,0.7545454545454546,36.303030303030305,Josh Allen,BUF,1.0,17.0,18.728621773206246,318.3865701445062,1
00-0036389,QB,17.259286028282858,9.777777777777779,10.668839689013799,0.2942591598453194,1.0355571616969714,129.40393880101556,0.8419861142538325,38.34920634920635,Jalen Hurts,PHI,1.0,17.0,17.6167051995815,299.48398839288546,2
00-0039851,QB,27.63937996783496,4.811812082109134,18.750002320933614,0.592961752474144,1.5120438735459119,205.6205483589189,0.1944809650439916,26.312966690986407,Drake Maye,NE,1.0,17.0,16.885256382954704,287.04935851023,3
00-0039732,QB,27.157380027131307,4.663057731414234,18.428663229273198,0.5400468833619545,1.5812191834968352,193.2574588986472,0.23446495690317518,20.591523399040934,Bo Nix,DEN,1.0,17.0,16.441023404532466,279.4973978770519,4
00-0036971,QB,25.49024512937478,4.057142857142857,17.067192114059633,0.5128989893703346,1.4392003562924507,181.61174039266444,0.3540261984325469,18.65428571428571,Trevor Lawrence,JAX,1.0,17.0,15.985058824159566,271.74600001071263,5
00-0034796,QB,17.92568369887114,8.74137931034483,10.48445518997463,0.2824383928410097,1.0755410219322683,138.8772655244522,0.26212645226024783,49.12068965517241,Lamar Jackson,BAL,1.0,17.0,15.777205602103873,268.21249523576586,6
00-0033077,QB,26.876528662052266,3.3051948051948052,18.048728886471853,0.5934640026821174,1.6125917197231359,203.48715002495345,0.12469261597594669,12.409090909090908,Dak Prescott,DAL,1.0,17.0,15.391989661291216,261.6638242419507,7
00-0036355,QB,27.378094784599227,4.1269841269841265,18.526794396701895,0.39609046720797453,1.5074180846281002,189.11063756564656,0.10636522072980713,18.714285714285715,Justin Herbert,LAC,1.0,17.0,15.31153680252973,260.29612564300544,8
00-0039918,QB,25.84424431398915,4.259008545591897,16.625293263363602,0.37455501181560985,1.4102030052772159,180.14375836817462,0.10785405904200573,22.37535112397466,Caleb Williams,CHI,1.0,17.0,14.98211179885413,254.6959005805202,9
00-0035710,QB,20.81238817305303,5.802505667427322,13.46881205739689,0.3766225367838359,1.058683394981542,147.17166900196804,0.3816805954963328,28.496482811431726,Daniel Jones,IND,1.0,17.0,14.508087120558386,246.63748104949258,10
00-0039910,QB,18.653955268755436,7.883166078183265,11.126496340671885,0.37406232942183887,1.1117169183922488,126.01587968645518,0.32860762090773,37.696483306247885,Jayden Daniels,WAS,1.0,17.0,14.480672258254693,246.17142839032977,11
