player_id,display_name,team,projected_games,final_rank,final_ensemble_ppg,final_ensemble_season,raw_forecast_ppg,raw_forecast_carries,raw_forecast_rushing_yards,raw_forecast_attempts,raw_forecast_passing_yards,raw_forecast_scored_ppg,exposure_status_baseline_ppg,exposure_status_baseline_carries,exposure_status_baseline_rushing_yards,exposure_status_baseline_attempts,exposure_status_baseline_passing_yards,exposure_status_baseline_scored_ppg,team_volume_reconcile_ppg,team_volume_reconcile_carries,team_volume_reconcile_rushing_yards,team_volume_reconcile_attempts,team_volume_reconcile_passing_yards,team_volume_reconcile_scored_ppg,td_constraints_ppg,td_constraints_carries,td_constraints_rushing_yards,td_constraints_attempts,td_constraints_passing_yards,td_constraints_scored_ppg,season_total_finalization_ppg,season_total_finalization_carries,season_total_finalization_rushing_yards,season_total_finalization_attempts,season_total_finalization_passing_yards,season_total_finalization_scored_ppg,depth_availability_delta_ppg,team_volume_delta_ppg,td_rate_delta_ppg,v1_ppg,v1_season,v2_ppg,v2_season
00-0034857,Josh Allen,BUF,17.0,1,21.022766426750437,357.3870292547573,18.955779,6.089131560753759,34.23574737486391,27.30162077030404,195.94882150769035,18.955778954310393,18.955779,6.089131560753759,34.23574737486391,27.30162077030404,195.94882150769035,18.955778954310393,17.267303,6.089131560753759,34.23574737486391,18.877516526975327,144.92197648303957,17.267302826346384,16.360281,6.089131560753759,34.23574737486391,18.877516526975327,144.92197648303957,16.360281222536525,16.360281,6.089131560753759,34.23574737486391,18.877516526975327,144.92197648303957,16.360281222536525,0.0,-1.6884760000000014,-0.9070219999999978,21.75908414964293,305.8138980173721,24.07772639196729,409.3213486634439
00-0039851,Drake Maye,NE,17.0,2,20.641046053224745,350.89778290482064,18.214899,5.01393504386697,28.92223032141193,28.32829063176781,224.4557073582642,18.214899192702777,18.214899,5.01393504386697,28.92223032141193,28.32829063176781,224.4557073582642,18.214899192702777,17.528092,5.01393504386697,28.92223032141193,27.369577073770362,206.26289884753234,17.528092199906993,17.528092,5.01393504386697,28.92223032141193,27.369577073770362,206.26289884753234,17.528092199906993,17.528092,5.01393504386697,28.92223032141193,27.369577073770362,206.26289884753234,17.528092199906993,0.0,-0.6868069999999982,0.0,20.572735395975908,319.9408602036318,21.9518777457909,373.1819216784453
00-0036971,Trevor Lawrence,JAX,17.0,3,20.02576429786888,340.437993063771,18.715049,3.871564184360902,18.78970102917523,30.993919803863218,227.14149600080856,18.71504880834977,18.715049,3.871564184360902,18.78970102917523,30.993919803863218,227.14149600080856,18.71504880834977,17.019708,3.871564184360902,18.78970102917523,24.381549163358695,178.2393034864175,17.01970804858763,15.68427,3.871564184360902,18.78970102917523,24.381549163358695,178.2393034864175,15.684269883244994,15.68427,3.871564184360902,18.78970102917523,24.381549163358695,178.2393034864175,15.684269883244994,0.0,-1.695340999999999,-1.3354380000000017,21.014737855881663,321.8412226367768,20.774939029540967,353.17396350219644
00-0033873,Patrick Mahomes,KC,17.0,4,19.60388349811375,333.26601946793375,17.510807,4.563030519281061,25.55235837289885,30.862758099353805,230.21819374255037,17.510806647780242,17.510807,4.563030519281061,25.55235837289885,30.862758099353805,230.21819374255037,17.510806647780242,13.948967,4.563030519281061,25.55235837289885,17.86395650646035,127.71345183627399,13.948967461598105,12.353323,4.563030519281061,25.55235837289885,17.86395650646035,127.71345183627399,12.353323223654865,12.353323,4.563030519281061,25.55235837289885,17.86395650646035,127.71345183627399,12.353323223654865,0.0,-3.56184,-1.595644,18.031508205143474,281.46306771610784,21.693294390731634,368.7860046424378
00-0036355,Justin Herbert,LAC,17.0,5,19.497802481192263,331.46264218026846,19.410125,4.5597396963381165,22.40624614495683,31.943792858604347,238.42407620832068,19.41012538266803,19.410125,4.5597396963381165,22.40624614495683,31.943792858604347,238.42407620832068,19.41012538266803,17.563859,4.5597396963381165,22.40624614495683,26.218660410667027,186.87025447241038,17.563859150115587,16.77404,4.5597396963381165,22.40624614495683,26.218660410667027,186.87025447241038,16.774040229470334,16.77404,4.5597396963381165,22.40624614495683,26.218660410667027,186.87025447241038,16.774040229470334,0.0,-1.846266,-0.7898190000000014,20.34022571276377,303.21128650681607,20.695203648143778,351.8184620184442
00-0039732,Bo Nix,DEN,17.0,6,19.161776299214264,325.75019708664246,17.305318,4.040699263198057,18.54685639244647,30.576892542581994,225.36297649621116,17.305317891863552,17.305318,4.040699263198057,18.54685639244647,30.576892542581994,225.36297649621116,17.305317891863552,16.204043,4.040699263198057,18.54685639244647,26.11208030970387,193.26338404598536,16.204042910750342,16.006008,4.040699263198057,18.54685639244647,26.11208030970387,193.26338404598536,16.006008454640302,16.006008,4.040699263198057,18.54685639244647,26.11208030970387,193.26338404598536,16.006008454640302,0.0,-1.1012750000000011,-0.1980349999999973,19.09857807503932,294.892446386359,19.81191620094348,336.80257541603913
00-0037834,Brock Purdy,SF,17.0,7,18.78726074942846,319.3834327402838,13.388329,3.011113008797006,8.61548815488379,22.907342626047747,190.6287654261733,13.388329294453248,13.388329,3.011113008797006,8.61548815488379,22.907342626047747,190.6287654261733,13.388329294453248,11.67514,3.011113008797006,8.61548815488379,18.742614787276377,142.2026178548577,11.675139580688269,10.843488,3.011113008797006,8.61548815488379,18.742614787276377,142.2026178548577,10.843487782324166,10.843488,3.011113008797006,8.61548815488379,18.742614787276377,142.2026178548577,10.843487782324166,0.0,-1.7131889999999999,-0.8316520000000001,17.84658355021537,280.01604869549834,21.210505068902833,360.57858617134815
00-0036389,Jalen Hurts,PHI,17.0,8,18.170378769776736,308.8964390862045,16.65653,4.309725888921528,19.43939246099003,29.88252427747363,210.5776156329901,16.656530033158596,16.65653,4.309725888921528,19.43939246099003,29.88252427747363,210.5776156329901,16.656530033158596,13.841507,4.309725888921528,19.43939246099003,17.473710673470322,126.98875091724335,13.841507020052449,12.727442,4.309725888921528,19.43939246099003,17.473710673470322,126.98875091724335,12.72744223256768,12.727442,4.309725888921528,19.43939246099003,17.473710673470322,126.98875091724335,12.72744223256768,0.0,-2.815023,-1.114065,18.97830763028703,277.55122331129326,19.30366256691401,328.16226363753816
00-0040691,Jaxson Dart,NYG,17.0,9,18.14797056258872,308.5154995640082,14.628236,6.909550971029029,37.52810019467572,19.721519195124525,141.94805640802718,14.628236278639452,14.628236,6.909550971029029,37.52810019467572,19.721519195124525,141.94805640802718,14.628236278639452,13.3128,6.909550971029029,37.52810019467572,14.345912122899893,103.62534189700607,13.31279960606681,13.3128,6.909550971029029,37.52810019467572,14.345912122899893,103.62534189700607,13.31279960606681,13.3128,6.909550971029029,37.52810019467572,14.345912122899893,103.62534189700607,13.31279960606681,0.0,-1.315436,0.0,18.6165593687332,257.76173243834586,20.13466678486911,342.2893353427749
00-0035228,Kyler Murray,MIN,17.0,10,17.696247083266698,300.8362004155339,10.715756,4.577984515792809,24.009231070951337,19.760234207154856,116.8530928453128,10.715756142558124,10.715756,4.577984515792809,24.009231070951337,19.760234207154856,116.8530928453128,10.715756142558124,9.479512,4.577984515792809,24.009231070951337,12.545267882509853,76.47497209479825,9.479512011304092,9.479512,4.577984515792809,24.009231070951337,12.545267882509853,76.47497209479825,9.479512011304092,9.479512,4.577984515792809,24.009231070951337,12.545267882509853,76.47497209479825,9.479512011304092,0.0,-1.236244000000001,0.0,15.994042928414418,195.05014690914837,19.939381378613486,338.96948343642924
