test_season,scope,position,stat,n_test,n_composed_rate_rows,composition_coverage,rate_x17_mae,rate_x_games_mae,naive_mae,parity_limit
2025,all_source_players,WR,receiving_yards,248,198,0.7983870967741935,146.5409374031246,136.5053354548352,157.68145161290323,production team-total×share composition for returning-rate rows; independent-rate fallback where the transition interface has no season-N+1 conditional-rate row; no historical curated role or rookies
2025,target_roster_eligible,WR,receiving_yards,228,198,0.868421052631579,156.04998063518906,147.7946586483034,167.23684210526315,production team-total×share composition for returning-rate rows; independent-rate fallback where the transition interface has no season-N+1 conditional-rate row; no historical curated role or rookies
2025,not_on_target_roster_attrition,WR,receiving_yards,20,0,0.0,38.13784455758978,7.807051049297708,48.75,production team-total×share composition for returning-rate rows; independent-rate fallback where the transition interface has no season-N+1 conditional-rate row; no historical curated role or rookies
2025,all_source_players,RB,rushing_yards,144,0,0.0,188.24516030091866,162.26205522759378,180.03472222222223,independent rate path; production room normalization unavailable
2025,target_roster_eligible,RB,rushing_yards,131,0,0.0,192.43601138094417,176.62227021867022,186.29770992366412,independent rate path; production room normalization unavailable
2025,not_on_target_roster_attrition,RB,rushing_yards,13,0,0.0,146.01427634066147,17.55527339443893,116.92307692307692,independent rate path; production room normalization unavailable
2025,all_source_players,TE,receiving_yards,139,116,0.8345323741007195,87.68875978703015,77.79847302104636,98.18705035971223,production team-total×share composition for returning-rate rows; independent-rate fallback where the transition interface has no season-N+1 conditional-rate row; no historical curated role or rookies
2025,target_roster_eligible,TE,receiving_yards,125,116,0.928,94.78984061483466,86.11673093777272,107.192,production team-total×share composition for returning-rate rows; independent-rate fallback where the transition interface has no season-N+1 conditional-rate row; no historical curated role or rookies
2025,not_on_target_roster_attrition,TE,receiving_yards,14,0,0.0,24.286252395918495,3.5283130502753575,17.785714285714285,production team-total×share composition for returning-rate rows; independent-rate fallback where the transition interface has no season-N+1 conditional-rate row; no historical curated role or rookies
2025,all_source_players,QB,passing_yards,79,0,0.0,651.0310262918701,639.2443487148105,770.1392405063291,independent rate path; production room normalization unavailable
2025,target_roster_eligible,QB,passing_yards,78,0,0.0,659.3775779109967,647.4397890829489,776.474358974359,independent rate path; production room normalization unavailable
2025,not_on_target_roster_attrition,QB,passing_yards,1,0,0.0,0.0,0.0,276.0,independent rate path; production room normalization unavailable
